Image,PID,Group,Age,Gender,ClickX,ClickY,Click
4,310,B,21,Female,571,881,"(571, 881)"
4,133,B,55,Male,742,1322,"(742, 1322)"
4,27,B,34,Female,204,287,"(204, 287)"
4,328,B,24,Female,530,683,"(530, 683)"
4,270,B,20,Male,113,1320,"(113, 1320)"
4,135,B,31,Female,540,937,"(540, 937)"
4,70,B,19,Male,533,100,"(533, 100)"
4,37,B,55,Female,557,935,"(557, 935)"
4,33,B,53,Female,85,300,"(85, 300)"
4,316,B,19,Female,544,1095,"(544, 1095)"
4,127,B,37,Female,564,954,"(564, 954)"
4,263,B,35,Male,1036,899,"(1036, 899)"
4,23,B,23,Male,914,1508,"(914, 1508)"
4,210,B,48,Male,558,854,"(558, 854)"
4,172,B,56,Female,498,1288,"(498, 1288)"
4,68,B,36,Female,579,1598,"(579, 1598)"
4,359,B,19,Female,544,935,"(544, 935)"
4,198,B,31,Female,540,913,"(540, 913)"
4,79,B,41,Female,534,1320,"(534, 1320)"
4,259,B,57,Male,532,915,"(532, 915)"
4,227,B,50,Female,574,975,"(574, 975)"
4,254,B,39,Female,544,949,"(544, 949)"
4,138,B,22,Male,573,979,"(573, 979)"
4,142,B,65,Female,523,900,"(523, 900)"
4,275,B,46,Male,481,1359,"(481, 1359)"
4,250,B,67,Female,582,960,"(582, 960)"
4,147,B,50,Female,225,1319,"(225, 1319)"
4,214,B,29,Female,378,1019,"(378, 1019)"
4,129,B,43,Female,539,866,"(539, 866)"
4,9,B,40,Male,513,1148,"(513, 1148)"
4,281,B,48,Female,567,983,"(567, 983)"
4,132,B,41,Female,471,1286,"(471, 1286)"
4,206,B,52,Female,603,813,"(603, 813)"
4,358,B,18,Female,860,119,"(860, 119)"
4,258,B,23,Male,535,912,"(535, 912)"
4,12,B,36,Male,763,1305,"(763, 1305)"
4,368,B,19,Female,544,652,"(544, 652)"
4,278,B,23,Male,522,963,"(522, 963)"
4,153,B,49,Female,581,836,"(581, 836)"
4,229,B,51,Female,384,1308,"(384, 1308)"
4,279,B,20,Male,137,308,"(137, 308)"
4,158,B,52,Female,257,1352,"(257, 1352)"
4,245,B,50,Female,486,881,"(486, 881)"
4,289,B,20,Male,560,970,"(560, 970)"
4,268,B,55,Female,689,1325,"(689, 1325)"
4,288,B,23,Female,142,315,"(142, 315)"
4,273,B,33,Male,568,629,"(568, 629)"
4,61,B,24,Female,567,132,"(567, 132)"
4,283,B,28,Female,512,1350,"(512, 1350)"
4,195,B,54,Female,529,1339,"(529, 1339)"
4,22,B,21,Male,102,1301,"(102, 1301)"
4,336,B,19,Female,500,949,"(500, 949)"
4,103,B,27,Male,369,1554,"(369, 1554)"
4,13,B,32,Female,546,911,"(546, 911)"
4,174,B,42,Male,234,1362,"(234, 1362)"
4,296,B,23,Male,1208,503,"(1208, 503)"
4,272,B,56,Female,499,1280,"(499, 1280)"
4,186,B,37,Male,435,968,"(435, 968)"
4,3,B,27,Male,679,991,"(679, 991)"
4,363,B,21,Male,171,105,"(171, 105)"
4,276,B,37,Male,800,973,"(800, 973)"
4,211,B,53,Female,703,1292,"(703, 1292)"
4,267,B,32,Male,532,1325,"(532, 1325)"
4,19,B,52,Female,547,950,"(547, 950)"
4,304,B,19,Female,492,1059,"(492, 1059)"
4,313,B,21,Female,515,505,"(515, 505)"
4,120,B,53,Female,597,923,"(597, 923)"
4,108,B,34,Female,544,927,"(544, 927)"
4,216,B,28,Female,573,832,"(573, 832)"
4,244,B,53,Female,514,934,"(514, 934)"
4,188,B,56,Male,596,1304,"(596, 1304)"
4,24,B,41,Male,535,970,"(535, 970)"
4,322,B,19,Female,534,780,"(534, 780)"
4,139,B,19,Male,540,877,"(540, 877)"
4,126,B,39,Female,676,870,"(676, 870)"
4,76,B,30,Male,87,137,"(87, 137)"
4,357,B,31,Female,546,762,"(546, 762)"
4,209,B,42,Female,611,930,"(611, 930)"
4,208,B,30,Female,483,1335,"(483, 1335)"
4,28,B,30,Male,535,962,"(535, 962)"
4,364,B,19,Female,987,921,"(987, 921)"
4,146,B,21,Male,356,1293,"(356, 1293)"
4,112,B,47,Female,447,1878,"(447, 1878)"
4,118,B,51,Female,470,1271,"(470, 1271)"
4,347,B,18,Female,554,976,"(554, 976)"
4,321,B,18,Female,531,972,"(531, 972)"
4,277,B,46,Male,111,1338,"(111, 1338)"
4,340,B,18,Female,123,520,"(123, 520)"
4,31,B,54,Male,525,965,"(525, 965)"
4,207,B,32,Male,562,599,"(562, 599)"
4,7,B,20,Male,589,995,"(589, 995)"
4,249,B,54,Female,587,821,"(587, 821)"
4,48,B,42,Female,662,1272,"(662, 1272)"
4,157,B,44,Female,547,748,"(547, 748)"
4,264,B,38,Female,663,1021,"(663, 1021)"
4,154,B,44,Female,1020,886,"(1020, 886)"
4,95,B,23,Male,547,910,"(547, 910)"
4,365,B,18,Male,916,696,"(916, 696)"
4,149,B,43,Female,540,920,"(540, 920)"
4,256,B,53,Female,482,1315,"(482, 1315)"
4,248,B,39,Female,539,855,"(539, 855)"
4,337,B,18,Female,561,1067,"(561, 1067)"
4,333,B,24,Male,548,895,"(548, 895)"
4,73,B,61,Female,120,1135,"(120, 1135)"
4,269,B,27,Male,517,1017,"(517, 1017)"
4,178,B,39,Female,102,1344,"(102, 1344)"
4,136,B,57,Male,108,1271,"(108, 1271)"
4,243,B,54,Female,588,862,"(588, 862)"
4,320,B,19,Female,512,1175,"(512, 1175)"
4,265,B,66,Female,723,1285,"(723, 1285)"
4,111,B,44,Male,1021,878,"(1021, 878)"
4,62,B,51,Female,520,934,"(520, 934)"
4,159,B,36,Male,135,295,"(135, 295)"
4,344,B,18,Female,543,653,"(543, 653)"
4,205,B,54,Female,544,951,"(544, 951)"
4,291,B,20,Male,736,263,"(736, 263)"
4,47,B,21,Male,574,476,"(574, 476)"
4,240,B,17,Female,531,953,"(531, 953)"
4,221,B,51,Female,553,957,"(553, 957)"
4,251,B,49,Female,180,1269,"(180, 1269)"
4,260,B,57,Female,240,1280,"(240, 1280)"
4,81,B,33,Female,522,906,"(522, 906)"
4,236,B,37,Female,528,721,"(528, 721)"
4,252,B,52,Female,711,1035,"(711, 1035)"
4,20,B,56,Female,537,967,"(537, 967)"
4,54,B,53,Female,754,1087,"(754, 1087)"
4,215,B,37,Female,223,1333,"(223, 1333)"
4,301,B,19,Male,771,1588,"(771, 1588)"
4,194,B,57,Female,573,729,"(573, 729)"
4,335,B,21,Female,504,1070,"(504, 1070)"
4,241,B,60,Male,574,675,"(574, 675)"
4,247,B,22,Female,541,835,"(541, 835)"
4,286,B,29,Female,490,1001,"(490, 1001)"
4,55,B,18,Male,584,943,"(584, 943)"
4,294,B,23,Male,548,905,"(548, 905)"
4,99,B,46,Female,625,1339,"(625, 1339)"
4,107,B,56,Female,277,1275,"(277, 1275)"
4,49,B,41,Male,605,920,"(605, 920)"
4,341,B,18,Female,511,906,"(511, 906)"
4,253,B,20,Male,342,1439,"(342, 1439)"
4,152,B,45,Female,549,911,"(549, 911)"
4,274,B,60,Female,644,1329,"(644, 1329)"
4,257,B,51,Male,675,1295,"(675, 1295)"
4,182,B,40,Female,825,1308,"(825, 1308)"
4,309,B,19,Female,579,1172,"(579, 1172)"
4,308,B,18,Male,555,906,"(555, 906)"
4,271,B,22,Male,545,921,"(545, 921)"
4,339,B,51,Female,573,1263,"(573, 1263)"
4,168,B,55,Male,979,930,"(979, 930)"
4,282,B,38,Female,531,990,"(531, 990)"
4,21,B,43,Female,494,888,"(494, 888)"
4,261,B,34,Male,807,1560,"(807, 1560)"
4,57,B,49,Female,430,1276,"(430, 1276)"
4,162,B,53,Female,535,923,"(535, 923)"
4,280,B,51,Female,526,973,"(526, 973)"
